7603;Volksschule (Grund- u. Mittelschulen);Mittelschule Großostheim   ;Dellweg 10;63762;Großostheim;http://www.km.bayern.de/schule/7603.html
743;Realschule;Staatliche Realschule Hösbach   ;An der Maas;63768;Hösbach;http://www.km.bayern.de/schule/0743.html
7641;Volksschule (Grund- u. Mittelschulen);Grundschule Hösbach-Winzenhohl   ;Ellerstr. 2-6;63768;Hösbach;http://www.km.bayern.de/schule/7641.html
7629;Volksschule (Grund- u. Mittelschulen);Grundschule am Klosterberg Hösbach-Rottenberg  ;Schulstr. 3;63768;Hösbach;http://www.km.bayern.de/schule/7629.html
7610;Volksschule (Grund- u. Mittelschulen);Astrid-Lindgren-Grundschule Hösbach   ;Jahnstr. 1 - 3;63768;Hösbach;http://www.km.bayern.de/schule/7610.html
7224;Volksschule zur sonderpädagog. Förderung;Pestalozzi-Schule Hösbach Förderzentrum Förderschwerpunkt Lernen ;Schöllkrippener Str. 56;63768;Hösbach;http://www.km.bayern.de/schule/7224.html
393;Gymnasium;Hanns-Seidel-Gymnasium Hösbach   ;An der Maas 2;63768;Hösbach;http://www.km.bayern.de/schule/0393.html
7280;Volksschule zur sonderpädagog. Förderung;Dr.Albert-Liebmann-Schule Förderzentrum, Förderschwerpunkt Sprache, der  Caritasschulen gGmbH Würzburg in Hösbach;Schöllkrippener Str. 56;63768;Hösbach;http://www.km.bayern.de/schule/7280.html
7611;Volksschule (Grund- u. Mittelschulen);Mittelschule Hösbach   ;Jahnstr. 1-3;63768;Hösbach;http://www.km.bayern.de/schule/7611.html
7600;Volksschule (Grund- u. Mittelschulen);Grundschule Goldbach   ;Am Wingert 34;63773;Goldbach;http://www.km.bayern.de/schule/7600.html
7601;Volksschule (Grund- u. Mittelschulen);Mittelschule Goldbach   ;Am Wingert 28 - 30;63773;Goldbach;http://www.km.bayern.de/schule/7601.html
7623;Volksschule (Grund- u. Mittelschulen);Grundschule Mömbris-Gunzenbach   ;Hofackerstr. 24;63776;Mömbris;http://www.km.bayern.de/schule/7623.html
7622;Volksschule (Grund- u. Mittelschulen);Mittelschule Mömbris am Glasberg  ;Kapellenweg 16;63776;Mömbris;http://www.km.bayern.de/schule/7622.html
7621;Volksschule (Grund- u. Mittelschulen);Ivo-Zeiger-Grundschule Mömbris   ;Fronhofen 3;63776;Mömbris;http://www.km.bayern.de/schule/7621.html
786;Berufsoberschule;Staatliche Berufsoberschule Obernburg a.Main  ;Dekaneistr. 5-9;63785;Obernburg a.Main;http://www.km.bayern.de/schule/0786.html
7821;Volksschule (Grund- u. Mittelschulen);Johannes-Obernburger-Mittelschule Obernburg a.Main  ;Oberer Neuer Weg 41;63785;Obernburg a.Main;http://www.km.bayern.de/schule/7821.html
7590;Volksschule (Grund- u. Mittelschulen);Johannes-Obernburger-Grundschule Obernburg a.Main  ;Oberer Neuer Weg 41;63785;Obernburg a.Main;http://www.km.bayern.de/schule/7590.html
594;Realschule;Main-Limes-Realschule Staatliche Realschule Obernburg  ;Dekaneistr. 2;63785;Obernburg a.Main;http://www.km.bayern.de/schule/0594.html
886;Fachoberschule;Staatliche Fachoberschule Obernburg a.Main  ;Dekaneistr. 5-9;63785;Obernburg a.Main;http://www.km.bayern.de/schule/0886.html
7476;Kaufmännische Berufsfachschule;Berufsfachschule für kaufm. Assistenten Obernburg a.Main des Landkreises Miltenberg;Berufsschulstr. 10;63785;Obernburg a.Main;http://www.km.bayern.de/schule/7476.html
7596;Volksschule (Grund- u. Mittelschulen);Grundschule Karlstein a.Main   ;Schulstr. 30;63791;Karlstein a.Main;http://www.km.bayern.de/schule/7596.html
7604;Volksschule (Grund- u. Mittelschulen);Mittelschule Karlstein a.Main   ;An der Waldschule;63791;Karlstein a.Main;http://www.km.bayern.de/schule/7604.html
7137;Wirtschaftsschule;Paul-Gerhardt-Schule Wirtschaftsschule Kahl a.Main Christlicher Schulverein Hanau und Kahl e.V.;Freigerichter Str. 12;63796;Kahl a.Main;http://www.km.bayern.de/schule/7137.html
7613;Volksschule (Grund- u. Mittelschulen);Kaldaha-Grundschule Kahl a.Main   ;Hauptstraße 19;63796;Kahl a.Main;http://www.km.bayern.de/schule/7613.html
7570;Volksschule (Grund- u. Mittelschulen);Paul-Gerhardt-Volksschule Kahl a.M. (Grundschule) Ev. Bekenntnisschule in fr. Träger- schaft d. christl. Schulver. Kahl;Freigerichter Str. 12;63796;Kahl a.Main;http://www.km.bayern.de/schule/7570.html
7686;Volksschule (Grund- u. Mittelschulen);Paul-Gerhardt-Mittelschule Kahl a.Main, Ev. Bekenntnisschule in freier Trägerschaft des christl. Schulvereins Kahl;Freigerichter Str. 12;63796;Kahl a.Main;http://www.km.bayern.de/schule/7686.html
7642;Volksschule (Grund- u. Mittelschulen);Wilhelm-Emmanuel-von-Ketteler- Grundschule Kleinostheim  ;Schulstr. 3;63801;Kleinostheim;http://www.km.bayern.de/schule/7642.html
7605;Volksschule (Grund- u. Mittelschulen);Mittelschule Haibach   ;Ringwallstr. 5;63808;Haibach;http://www.km.bayern.de/schule/7605.html
7606;Volksschule (Grund- u. Mittelschulen);Grundschule Haibach   ;Ringwallstraße 5;63808;Haibach;http://www.km.bayern.de/schule/7606.html
7635;Volksschule (Grund- u. Mittelschulen);Mittelschule Stockstadt a.Main   ;Adalbert-Stifter-Straße 2;63811;Stockstadt a.Main;http://www.km.bayern.de/schule/7635.html
7634;Volksschule (Grund- u. Mittelschulen);Grundschule Stockstadt a.Main   ;Schulstraße 8;63811;Stockstadt a.Main;http://www.km.bayern.de/schule/7634.html
7618;Volksschule (Grund- u. Mittelschulen);Ascapha-Mittelschule Mainaschaff   ;Schillerstr. 1;63814;Mainaschaff;http://www.km.bayern.de/schule/7618.html
7541;Volksschule (Grund- u. Mittelschulen);Ascapha-Grundschule Mainaschaff   ;Schillerstr. 1;63814;Mainaschaff;http://www.km.bayern.de/schule/7541.html
7230;Volksschule zur sonderpädagog. Förderung;Richard-Galmbacher-Schule Förderzentrum, Förderschwerpunkt geistige Entwickl. der Lebenshilfe e.V. Miltenberg in Elsenfeld;Dammsfeldstr. 14;63820;Elsenfeld;http://www.km.bayern.de/schule/7230.html
7802;Volksschule (Grund- u. Mittelschulen);Georg-Keimel-Mittelschule Elsenfeld   ;Mühlweg 22;63820;Elsenfeld;http://www.km.bayern.de/schule/7802.html
703;Realschule;Staatliche Realschule Elsenfeld   ;Dammsfeldstr. 18;63820;Elsenfeld;http://www.km.bayern.de/schule/0703.html
